@nsh_execute_indirect_call_register_in_if.then56|1|1/1/1/1
@nsh_execute_indirect_call_register_in_if.then73|1|1/1/1/1
@nsh_execute_indirect_call_register_in_if.then84|1|1/1/1/1
@nsh_foreach_direntry_indirect_call_register_in_if.end|1|1/1/1/1
@nsh_foreach_direntry_indirect_call_register_in_if.end12|1|1/1/1/1
@nsh_foreach_direntry_indirect_call_register_in_if.then3|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then114|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then132|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then154|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then162|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then177|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then21|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then29|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then37|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then8|1|1/1/1/1
@nsh_itef_indirect_call_register_in_if.then88|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then109|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then127|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then13|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then140|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then148|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then169|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then212|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then42|1|1/1/1/1
@nsh_loop_indirect_call_register_in_if.then50|1|1/1/1/1
@nsh_nice_indirect_call_register_in_if.then26|1|1/1/1/1
@nsh_parse_command_indirect_call_register_in_if.then126|1|1/1/1/1
@nsh_parse_command_indirect_call_register_in_if.then156|1|1/1/1/1
@nsh_parse_command_indirect_call_register_in_if.then72|1|1/1/1/1
@nsh_parse_command_indirect_call_register_in_if.then97|1|1/1/1/1
@nsh_parse_indirect_call_register_in_if.then39|1|1/1/1/1
@nsh_readfile_indirect_call_register_in_if.then|1|1/1/1/1
@nsh_readfile_indirect_call_register_in_if.then11|1|1/1/1/1
@nsh_script_indirect_call_register_in_if.end|1|1/1/1/1
@nsh_script_indirect_call_register_in_if.then11|1|1/1/1/1
@nsh_script_indirect_call_register_in_if.then27|1|1/1/1/1
@nsh_script_indirect_call_register_in_if.then40|1|1/1/1/1
@nsh_session_indirect_call_register_in_if.else19|1|1/1/1/1
@nsh_session_indirect_call_register_in_if.then27|1|1/1/1/1
@nsh_session_indirect_call_register_in_if.then8|1|1/1/1/1
@nsh_strcat_indirect_call_register_in_if.then5|1|1/1/1/1
@nsh_system__indirect_call_register_in_cond.end|1|1/1/1/1
@nsh_writefile_indirect_call_register_in_if.end|1|1/1/1/1
@nsh_writefile_indirect_call_register_in_if.then11|1|1/1/1/1
@nsh_writefile_indirect_call_register_in_if.then3|1|1/1/1/1
@nx_mount_indirect_call_register_in_if.end75|1|1/1/1/1
@nx_mount_indirect_call_register_in_if.then113|1|1/1/1/1
@nx_umount2_indirect_call_register_in_if.end13|1|1/1/1/1
@nx_unlink_indirect_call_register_in_if.then11|1|1/1/1/1
